year,country,code,continent,report_type,report_link,date,assessment_body,in_efu,io1,io2,io3,io4,io5,io6,io7,io8,io9,io10,io11,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,io1_i,io2_i,io3_i,io4_i,io5_i,io6_i,io7_i,io8_i,io9_i,io10_i,io11_i,r1_i,r2_i,r3_i,r4_i,r5_i,r6_i,r7_i,r8_i,r9_i,r10_i,r11_i,r12_i,r13_i,r14_i,r15_i,r16_i,r17_i,r18_i,r19_i,r20_i,r21_i,r22_i,r23_i,r24_i,r25_i,r26_i,r27_i,r28_i,r29_i,r30_i,r31_i,r32_i,r33_i,r34_i,r35_i,r36_i,r37_i,r38_i,r39_i,r40_i,io_le,io_me,io_se,io_he,r_nc,r_pc,r_lc,r_c,io_mean,r_mean,io_a_mean,io_b_mean,io_c_mean,r_a_mean,r_b_mean,r_c_mean,r_d_mean,r_e_mean,r_f_mean,r_g_mean,ei1,tci1,ei2,tci2,cr1,cr2,fu,efu,c1_efu,c2_efu,c3_efu,c4_efu,r_efu,io_efu,rio_efu,stage
2018,Albania,AL,Europe,MER,https://www.fatf-gafi.org/content/fatf-gafi/en/publications/Mutualevaluations/Mer-albania-2018.html,2018-07-01,MONEYVAL,1,ME,ME,ME,SE,ME,SE,ME,ME,LE,ME,LE,LC,LC,LC,LC,LC,PC,NC,PC,LC,LC,LC,LC,LC,C,LC,LC,NA,PC,PC,LC,LC,LC,LC,PC,PC,PC,LC,PC,LC,C,LC,LC,LC,LC,PC,LC,LC,PC,LC,LC,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.5811965811965811,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,2,7,2,0,1,10,26,2,0.3333333333333333,0.5811965811965811,0.3333333333333333,0.4444444444444444,0.2777777777777778,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6387464387464387,0.3333333333333333,0.6,0.6,0.3333333333333333,0.5811965811965811,0.35185185185185186,0.5483923483923484,0.573529411764706,0.64160605610806,0,0,1,0,1,0,1,1,1,0
2019,Albania,AL,Europe,EFUR1,https://www.fatf-gafi.org/content/fatf-gafi/en/publications/Mutualevaluations/Fur1-albania-2019.html,2019-12-01,MONEYVAL,1,ME,ME,ME,SE,ME,SE,ME,ME,LE,ME,LE,LC,LC,LC,LC,LC,C,NC,LC,LC,LC,LC,LC,LC,C,LC,LC,NA,LC,C,LC,C,LC,LC,PC,PC,PC,LC,PC,LC,C,LC,LC,LC,LC,LC,LC,LC,PC,LC,LC,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.6495726495726496,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,2,7,2,0,1,5,28,5,0.3333333333333333,0.6495726495726496,0.3333333333333333,0.4444444444444444,0.2777777777777778,0.6666666666666666,0.6666666666666666,0.5833333333333333,0.7321937321937322,0.3333333333333333,0.6333333333333333,0.6,0.3333333333333333,0.6495726495726496,0.35185185185185186,0.6022181522181522,0.513157894736842,0.58425979116683,1,1,0,0,1,0,0,1,1,1
2021,Albania,AL,Europe,EFUR2,https://www.fatf-gafi.org/content/fatf-gafi/en/publications/Mutualevaluations/Fur-albania-2021.html,2021-05-01,MONEYVAL,1,ME,ME,ME,SE,ME,SE,ME,ME,LE,ME,LE,LC,LC,LC,LC,LC,C,PC,LC,LC,LC,LC,LC,LC,C,PC,LC,NA,LC,C,LC,C,LC,LC,PC,PC,PC,LC,PC,LC,C,LC,LC,LC,LC,LC,LC,LC,PC,LC,LC,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,0.6495726495726496,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,2,7,2,0,0,7,27,5,0.3333333333333333,0.6495726495726496,0.3333333333333333,0.4444444444444444,0.2777777777777778,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7099715099715099,0.3333333333333333,0.6333333333333333,0.6,0.3333333333333333,0.6495726495726496,0.35185185185185186,0.6109483109483109,0.513157894736842,0.5759109986010259,1,1,0,0,1,0,0,1,1,2
2022,Albania,AL,Europe,EFUR3,https://www.fatf-gafi.org/content/fatf-gafi/en/publications/Mutualevaluations/FUR-Albania-2022.html,2022-05-01,MONEYVAL,1,ME,ME,ME,SE,ME,SE,ME,ME,LE,ME,LE,LC,LC,LC,LC,LC,C,PC,LC,LC,LC,LC,LC,LC,C,PC,LC,NA,LC,C,LC,C,LC,LC,LC,PC,LC,LC,PC,LC,C,LC,LC,LC,LC,LC,LC,LC,C,LC,LC,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,0.6837606837606838,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,2,7,2,0,0,4,29,6,0.3333333333333333,0.6837606837606838,0.3333333333333333,0.4444444444444444,0.2777777777777778,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7122507122507122,0.5,0.6666666666666666,0.7333333333333333,0.3333333333333333,0.6837606837606838,0.35185185185185186,0.6588929588929588,0.4875,0.5340045710050034,1,1,0,0,1,0,0,1,1,3
2023,Albania,AL,Europe,EFUR4,https://www.fatf-gafi.org/content/fatf-gafi/en/publications/Mutualevaluations/fur-albania-2023.html,2023-05-01,MONEYVAL,1,ME,ME,ME,SE,ME,SE,ME,ME,LE,ME,LE,LC,LC,LC,LC,LC,C,PC,LC,LC,LC,LC,LC,LC,C,PC,LC,NA,LC,C,LC,C,LC,LC,LC,LC,LC,LC,LC,LC,C,LC,LC,LC,LC,LC,LC,LC,C,LC,LC,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,0.7008547008547008,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,2,7,2,0,0,2,31,6,0.3333333333333333,0.7008547008547008,0.3333333333333333,0.4444444444444444,0.2777777777777778,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7133903133903133,0.6666666666666666,0.7,0.7333333333333333,0.3333333333333333,0.7008547008547008,0.35185185185185186,0.6876271876271876,0.47560975609756095,0.5116898490677716,1,1,0,0,1,0,0,1,1,4
2023,Algeria,DZ,Africa,MER,https://www.fatf-gafi.org/content/fatf-gafi/en/publications/Mutualevaluations/mutual-evaluation-of-algeria.html,2023-07-01,MENAFATF,1,LE,ME,LE,LE,LE,ME,ME,SE,SE,LE,LE,NC,PC,LC,LC,C,PC,NC,NC,PC,PC,PC,NC,NC,PC,NC,NC,NA,PC,NC,LC,PC,PC,PC,NC,NC,PC,PC,PC,LC,LC,LC,PC,C,PC,PC,PC,LC,LC,LC,NC,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.3504273504273504,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,6,3,2,0,11,17,9,2,0.2121212121212121,0.3504273504273504,0.16666666666666666,0.0,0.3333333333333333,0.16666666666666666,0.6666666666666666,0.3333333333333333,0.24558404558404556,0.0,0.5,0.4666666666666666,0.2121212121212121,0.3504273504273504,0.16666666666666666,0.3398453398453398,0.6053215077605322,0.49041916167664673,0,0,1,1,1,1,1,1,1,0
2024,Algeria,DZ,Africa,EFUR1,https://www.fatf-gafi.org/content/fatf-gafi/en/publications/Mutualevaluations/fur-algeria-2024.html,2024-05-01,MENAFATF,1,LE,ME,LE,LE,LE,ME,ME,SE,SE,LE,LE,NC,PC,LC,LC,C,PC,NC,NC,PC,PC,PC,PC,NC,LC,NC,NC,NA,PC,NC,LC,LC,PC,PC,NC,NC,LC,LC,LC,LC,LC,LC,PC,C,PC,PC,PC,LC,LC,LC,NC,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.40170940170940167,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,6,3,2,0,10,13,14,2,0.2121212121212121,0.40170940170940167,0.16666666666666666,0.0,0.3333333333333333,0.16666666666666666,0.6666666666666666,0.3333333333333333,0.3156695156695157,0.0,0.6,0.4666666666666666,0.2121212121212121,0.40170940170940167,0.16666666666666666,0.36414326414326414,0.528046421663443,0.4576953168659886,1,1,1,1,1,1,1,1,1,1
2025,Algeria,DZ,Africa,EFUR2,https://www.fatf-gafi.org/en/publications/Mutualevaluations/efur-algeria-2025.html,2025-05-01,MENAFATF,1,LE,ME,LE,LE,LE,ME,ME,SE,SE,LE,LE,NC,PC,LC,LC,C,PC,NC,NC,PC,LC,LC,PC,NC,LC,NC,LC,NA,LC,PC,LC,LC,PC,PC,NC,NC,LC,LC,LC,LC,LC,LC,PC,C,PC,PC,PC,LC,LC,LC,NC,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.0,0.6666666666666666,0.452991452991453,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,6,3,2,0,8,11,18,2,0.2121212121212121,0.452991452991453,0.16666666666666666,0.0,0.3333333333333333,0.16666666666666666,0.6666666666666666,0.3333333333333333,0.4524216524216524,0.0,0.6,0.4666666666666666,0.2121212121212121,0.452991452991453,0.16666666666666666,0.38367928367928367,0.4682675814751286,0.4343905802482232,1,1,1,0,1,1,1,1,1,2
2017,Andorra,AD,Europe,MER,https://www.fatf-gafi.org/content/fatf-gafi/en/publications/Mutualevaluations/Mer-andorra-2017.html,2017-09-01,MONEYVAL,1,SE,SE,ME,ME,ME,SE,ME,ME,SE,ME,ME,LC,PC,PC,C,LC,LC,C,PC,LC,LC,LC,PC,LC,LC,PC,PC,LC,LC,C,LC,LC,PC,PC,LC,PC,PC,LC,PC,LC,C,PC,PC,LC,PC,LC,PC,LC,LC,LC,LC,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,7,4,0,0,15,21,4,0.45454545454545453,0.575,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.5,0.6666666666666666,0.6666666666666666,0.5777777777777777,0.5,0.5333333333333333,0.6,0.45454545454545453,0.575,0.48148148148148145,0.5777777777777777,0.7905138339920948,0.8333333333333334,0,0,1,1,1,0,1,1,1,0
2018,Andorra,AD,Europe,EFUR1,https://www.fatf-gafi.org/content/fatf-gafi/en/publications/Mutualevaluations/Fur-andorra-2019.html,2018-12-01,MONEYVAL,1,SE,SE,ME,ME,ME,SE,ME,ME,SE,ME,ME,LC,C,LC,C,LC,LC,C,PC,LC,LC,C,LC,LC,LC,C,LC,LC,LC,C,C,C,LC,LC,LC,PC,PC,LC,PC,LC,C,PC,C,LC,LC,LC,PC,LC,LC,LC,LC,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,7,4,0,0,6,24,10,0.45454545454545453,0.7,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.8333333333333333,0.8333333333333333,0.6666666666666666,0.7777777777777778,0.5,0.6333333333333333,0.6,0.45454545454545453,0.7,0.48148148148148145,0.692063492063492,0.6493506493506493,0.6957186544342507,1,1,0,0,1,0,0,1,1,1
