year,country,code,continent,report_type,report_link,date,assessment_body,in_efu,io1,io2,io3,io4,io5,io6,io7,io8,io9,io10,io11,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,io1_i,io2_i,io3_i,io4_i,io5_i,io6_i,io7_i,io8_i,io9_i,io10_i,io11_i,r1_i,r2_i,r3_i,r4_i,r5_i,r6_i,r7_i,r8_i,r9_i,r10_i,r11_i,r12_i,r13_i,r14_i,r15_i,r16_i,r17_i,r18_i,r19_i,r20_i,r21_i,r22_i,r23_i,r24_i,r25_i,r26_i,r27_i,r28_i,r29_i,r30_i,r31_i,r32_i,r33_i,r34_i,r35_i,r36_i,r37_i,r38_i,r39_i,r40_i,io_le,io_me,io_se,io_he,r_nc,r_pc,r_lc,r_c,io_mean,r_mean,io_a_mean,io_b_mean,io_c_mean,r_a_mean,r_b_mean,r_c_mean,r_d_mean,r_e_mean,r_f_mean,r_g_mean,ei1,tci1,ei2,tci2,cr1,cr2,fu,efu,c1_efu,c2_efu,c3_efu,c4_efu,r_efu,io_efu,rio_efu,stage
2024,El Salvador,SV,North America,MER,https://www.fatf-gafi.org/content/fatf-gafi/en/publications/Mutualevaluations/el-salvador-mer-2024.html,2024-08-01,GAFILAT,1,ME,SE,LE,ME,ME,ME,ME,ME,ME,ME,ME,LC,C,LC,LC,LC,LC,PC,PC,LC,LC,C,LC,LC,C,PC,PC,NA,LC,C,C,LC,LC,LC,PC,LC,LC,LC,NC,LC,LC,LC,LC,LC,C,PC,LC,LC,PC,LC,LC,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,0.641025641025641,0.6666666666666666,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,1,9,1,0,1,7,25,6,0.3333333333333333,0.641025641025641,0.5,0.2222222222222222,0.3333333333333333,0.8333333333333333,0.6666666666666666,0.5,0.7094017094017093,0.5,0.6,0.6,0.3333333333333333,0.641025641025641,0.35185185185185186,0.6299145299145299,0.52,0.5585707824513795,0,0,1,0,1,0,1,1,1,0
2024,Equatorial Guinea,GQ,Africa,MER,https://www.fatf-gafi.org/content/fatf-gafi/en/publications/Mutualevaluations/Equatorial-Guinea-MER-2024.html,2024-11-01,GABAC,1,LE,LE,LE,LE,LE,LE,LE,LE,LE,LE,LE,PC,PC,C,PC,LC,PC,PC,NC,LC,PC,LC,PC,LC,LC,NC,PC,LC,LC,PC,PC,C,PC,PC,NC,PC,PC,C,NC,PC,C,C,PC,NC,PC,PC,PC,LC,PC,LC,PC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1.0,0.0,0.3333333333333333,1.0,1.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,11,0,0,0,5,21,9,5,0.0,0.44999999999999996,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.4888888888888889,0.16666666666666666,0.4666666666666667,0.4666666666666666,0.0,0.44999999999999996,0.0,0.4174603174603174,0.0,0.0,0,0,1,1,1,1,1,1,1,0
2022,Estonia,EE,Europe,MER,https://www.fatf-gafi.org/en/publications/Mutualevaluations/MER-Estonia-2022.html,2022-12-01,MONEYVAL,1,ME,SE,ME,ME,ME,SE,ME,ME,ME,ME,SE,PC,C,LC,C,LC,PC,PC,PC,C,LC,C,LC,PC,LC,PC,C,LC,LC,PC,PC,PC,LC,PC,PC,PC,LC,LC,PC,LC,C,C,LC,PC,LC,PC,LC,LC,LC,LC,LC,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,1.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.0,1.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,8,3,0,0,15,18,7,0.4242424242424242,0.6,0.5,0.3333333333333333,0.4444444444444444,0.6666666666666666,0.8333333333333333,0.41666666666666663,0.6,0.3333333333333333,0.6333333333333333,0.6666666666666666,0.4242424242424242,0.6,0.42592592592592593,0.5928571428571429,0.7070707070707071,0.7184292726461401,0,0,1,1,1,0,1,1,1,0
2024,Estonia,EE,Europe,EFUR1,https://www.fatf-gafi.org/content/fatf-gafi/en/publications/Mutualevaluations/Estonia-FUR-2024.html,2024-12-01,MONEYVAL,1,ME,SE,ME,ME,ME,SE,ME,ME,ME,ME,SE,PC,C,LC,C,LC,LC,PC,PC,C,LC,C,LC,PC,LC,PC,C,LC,LC,PC,PC,PC,LC,PC,PC,PC,LC,LC,PC,LC,C,C,LC,PC,LC,PC,LC,LC,LC,LC,LC,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,1.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.0,1.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,8,3,0,0,14,19,7,0.4242424242424242,0.6083333333333333,0.5,0.3333333333333333,0.4444444444444444,0.6666666666666666,0.8333333333333333,0.5,0.6,0.3333333333333333,0.6333333333333333,0.6666666666666666,0.4242424242424242,0.6083333333333333,0.42592592592592593,0.6047619047619047,0.6973848069738481,0.7042869641294839,1,1,1,1,1,0,1,1,1,1
2022,Eswatini,SZ,Africa,MER,https://www.fatf-gafi.org/en/publications/Mutualevaluations/Mer-eswatini-2022.html,2022-06-01,ESAAMLG,1,LE,LE,LE,LE,LE,LE,LE,LE,LE,LE,LE,PC,PC,LC,LC,PC,NC,NC,NC,LC,PC,LC,PC,LC,PC,NC,NC,PC,PC,NC,C,LC,PC,PC,NC,PC,PC,C,PC,LC,C,LC,PC,PC,PC,LC,LC,PC,LC,PC,PC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,11,0,0,0,7,19,11,3,0.0,0.41666666666666663,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.08333333333333333,0.39999999999999997,0.16666666666666666,0.5666666666666667,0.4666666666666666,0.0,0.41666666666666663,0.0,0.3833333333333333,0.0,0.0,0,0,1,1,1,1,1,1,1,0
2015,Ethiopia,ET,Africa,MER,https://www.fatf-gafi.org/content/fatf-gafi/en/publications/Mutualevaluations/Mer-ethiopia-2015.html,2015-05-01,ESAAMLG/WB,1,LE,ME,LE,LE,ME,LE,LE,LE,LE,LE,LE,NC,PC,LC,LC,LC,NC,NC,PC,C,LC,C,C,C,PC,LC,C,C,LC,PC,C,LC,LC,LC,PC,NA,LC,C,PC,LC,LC,LC,PC,PC,PC,LC,PC,LC,LC,LC,NC,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,0.3333333333333333,1.0,0.6666666666666666,1.0,1.0,1.0,0.3333333333333333,0.6666666666666666,1.0,1.0,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.5811965811965811,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,9,2,0,0,4,10,17,8,0.0606060606060606,0.5811965811965811,0.16666666666666666,0.1111111111111111,0.0,0.16666666666666666,0.6666666666666666,0.25,0.7777777777777778,0.4572649572649572,0.5666666666666667,0.4666666666666666,0.0606060606060606,0.5811965811965811,0.09259259259259259,0.4788156288156288,0.10427807486631016,0.19337838412172215,0,0,1,0,1,1,1,1,1,0
2018,Ethiopia,ET,Africa,EFUR5,https://www.fatf-gafi.org/content/fatf-gafi/en/publications/Mutualevaluations/Fur-ethiopia-2018.html,2018-09-01,ESAAMLG,1,LE,ME,LE,LE,ME,LE,LE,LE,LE,LE,LE,C,PC,LC,LC,LC,LC,NC,PC,C,LC,C,C,C,C,LC,C,C,LC,LC,C,LC,LC,LC,PC,NA,LC,C,LC,LC,LC,LC,PC,LC,PC,LC,PC,LC,LC,LC,NC,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,9,2,0,0,2,6,21,10,0.0606060606060606,0.6666666666666666,0.16666666666666666,0.1111111111111111,0.0,0.6666666666666666,0.6666666666666666,0.41666666666666663,0.8444444444444444,0.5,0.6333333333333333,0.4666666666666666,0.0606060606060606,0.6666666666666666,0.09259259259259259,0.5992063492063492,0.09090909090909091,0.15452538631346577,1,1,1,0,1,1,1,1,1,5
2019,Ethiopia,ET,Africa,EFUR6,https://www.fatf-gafi.org/content/fatf-gafi/en/publications/Mutualevaluations/Fur-ethiopia-2019.html,2019-09-01,ESAAMLG,1,LE,ME,LE,LE,ME,LE,LE,LE,LE,LE,LE,C,LC,LC,LC,LC,LC,PC,LC,C,LC,C,C,C,C,LC,C,C,LC,LC,C,LC,LC,LC,PC,NA,LC,C,LC,LC,LC,LC,PC,LC,PC,LC,C,LC,LC,LC,PC,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.717948717948718,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,9,2,0,0,0,5,23,11,0.0606060606060606,0.717948717948718,0.16666666666666666,0.1111111111111111,0.0,0.8333333333333333,0.6666666666666666,0.5833333333333333,0.8444444444444444,0.5256410256410257,0.6333333333333333,0.6666666666666666,0.0606060606060606,0.717948717948718,0.09259259259259259,0.679059829059829,0.0844155844155844,0.13635410111181037,1,1,0,0,1,1,0,1,1,6
2020,Ethiopia,ET,Africa,EFUR7,https://www.fatf-gafi.org/content/fatf-gafi/en/publications/Mutualevaluations/Fur-ethiopia-2021.html,2020-12-01,ESAAMLG,1,LE,ME,LE,LE,ME,LE,LE,LE,LE,LE,LE,C,LC,LC,LC,LC,LC,LC,LC,C,LC,C,C,C,C,LC,C,C,LC,LC,C,LC,LC,LC,PC,NA,LC,C,LC,LC,LC,LC,PC,LC,PC,LC,C,LC,LC,LC,PC,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.7264957264957265,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,9,2,0,0,0,4,24,11,0.0606060606060606,0.7264957264957265,0.16666666666666666,0.1111111111111111,0.0,0.8333333333333333,0.6666666666666666,0.6666666666666666,0.8444444444444444,0.5299145299145299,0.6333333333333333,0.6666666666666666,0.0606060606060606,0.7264957264957265,0.09259259259259259,0.6915750915750916,0.08342245989304813,0.13388653483992466,1,1,0,0,1,1,0,1,1,7
2021,Ethiopia,ET,Africa,EFUR8,https://www.fatf-gafi.org/content/fatf-gafi/en/publications/Mutualevaluations/Fur-ethiopia-aug-2021.html,2021-04-01,ESAAMLG,1,LE,ME,LE,LE,ME,LE,LE,LE,LE,LE,LE,C,LC,LC,LC,LC,LC,LC,LC,C,LC,C,C,C,C,PC,C,C,LC,LC,C,LC,LC,LC,PC,NA,LC,C,LC,LC,LC,LC,PC,LC,LC,LC,C,LC,LC,LC,PC,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.7264957264957265,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,9,2,0,0,0,4,24,11,0.0606060606060606,0.7264957264957265,0.16666666666666666,0.1111111111111111,0.0,0.8333333333333333,0.6666666666666666,0.6666666666666666,0.8222222222222222,0.5299145299145299,0.6666666666666666,0.6666666666666666,0.0606060606060606,0.7264957264957265,0.09259259259259259,0.6931623931623931,0.08342245989304813,0.13357994245787094,1,1,0,0,1,1,0,1,1,8
2022,Ethiopia,ET,Africa,EFUR10,https://www.fatf-gafi.org/content/fatf-gafi/en/publications/Mutualevaluations/Fur-ethiopia-2022.html,2022-04-01,ESAAMLG,1,LE,ME,LE,LE,ME,LE,LE,LE,LE,LE,LE,C,LC,LC,LC,LC,LC,LC,LC,C,LC,C,C,C,C,PC,C,C,LC,LC,C,LC,LC,LC,LC,NA,LC,C,LC,LC,LC,LC,PC,LC,LC,LC,C,LC,LC,LC,PC,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.735042735042735,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,9,2,0,0,0,3,25,11,0.0606060606060606,0.735042735042735,0.16666666666666666,0.1111111111111111,0.0,0.8333333333333333,0.6666666666666666,0.6666666666666666,0.8222222222222222,0.7008547008547008,0.6666666666666666,0.6666666666666666,0.0606060606060606,0.735042735042735,0.09259259259259259,0.7175824175824176,0.0824524312896406,0.12903408768646135,1,1,0,0,1,1,0,1,1,10
2016,Fiji,FJ,Oceania,MER,https://www.fatf-gafi.org/content/fatf-gafi/en/publications/Mutualevaluations/Mer-fiji-2016.html,2016-10-01,APG,1,ME,ME,ME,ME,LE,ME,ME,LE,LE,LE,LE,PC,PC,LC,C,PC,NC,NC,PC,C,PC,PC,PC,C,C,PC,PC,PC,PC,NC,LC,LC,NC,PC,PC,PC,LC,LC,PC,C,C,LC,LC,PC,LC,PC,PC,LC,C,PC,LC,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,0.0,0.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,5,6,0,0,4,19,10,7,0.1818181818181818,0.5,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.3333333333333333,0.8333333333333333,0.16666666666666666,0.4666666666666667,0.3333333333333333,0.6333333333333333,0.6,0.1818181818181818,0.5,0.2222222222222222,0.4809523809523809,0.3636363636363636,0.4620462046204621,0,0,1,1,1,1,1,1,1,0
2017,Fiji,FJ,Oceania,EFUR1,https://www.fatf-gafi.org/content/fatf-gafi/en/publications/Mutualevaluations/Fur-fiji-2017.html,2017-10-01,APG,1,ME,ME,ME,ME,LE,ME,ME,LE,LE,LE,LE,LC,PC,LC,C,C,PC,PC,PC,C,LC,C,PC,C,C,PC,LC,LC,LC,NC,LC,LC,PC,PC,PC,PC,LC,LC,PC,C,C,LC,LC,PC,LC,LC,PC,LC,C,PC,LC,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,5,6,0,0,1,14,16,9,0.1818181818181818,0.6083333333333333,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.5,0.8333333333333333,0.5,0.6222222222222222,0.3333333333333333,0.6666666666666666,0.6,0.1818181818181818,0.6083333333333333,0.2222222222222222,0.5793650793650793,0.298879202988792,0.3835616438356165,1,1,1,0,1,1,1,1,1,1
2018,Fiji,FJ,Oceania,EFUR2,https://www.fatf-gafi.org/content/fatf-gafi/en/publications/Mutualevaluations/Fur-fiji-2018.html,2018-09-01,APG,1,ME,ME,ME,ME,LE,ME,ME,LE,LE,LE,LE,LC,LC,LC,C,C,PC,PC,PC,C,LC,C,C,C,C,C,LC,LC,LC,C,LC,LC,LC,LC,PC,PC,LC,LC,LC,C,C,LC,LC,PC,LC,LC,LC,LC,C,PC,LC,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,5,6,0,0,0,7,21,12,0.1818181818181818,0.7083333333333333,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.6666666666666666,0.8333333333333333,0.5,0.8222222222222222,0.3333333333333333,0.7,0.6666666666666666,0.1818181818181818,0.7083333333333333,0.2222222222222222,0.646031746031746,0.2566844919786096,0.343980343980344,1,1,0,0,1,1,0,1,1,2
2019,Fiji,FJ,Oceania,EFUR3,https://www.fatf-gafi.org/content/fatf-gafi/en/publications/Mutualevaluations/Fur-fiji-2019.html,2019-08-01,APG,1,ME,ME,ME,ME,LE,ME,ME,LE,LE,LE,LE,LC,LC,LC,C,C,PC,PC,PC,C,LC,C,C,C,C,C,LC,LC,LC,C,LC,LC,LC,LC,PC,PC,LC,LC,LC,C,C,LC,LC,C,LC,LC,LC,LC,C,PC,LC,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,5,6,0,0,0,6,21,13,0.1818181818181818,0.725,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.6666666666666666,0.8333333333333333,0.5,0.8222222222222222,0.3333333333333333,0.7666666666666666,0.6666666666666666,0.1818181818181818,0.725,0.2222222222222222,0.6555555555555556,0.2507836990595611,0.3389830508474576,1,1,0,0,1,1,0,1,1,3
2020,Fiji,FJ,Oceania,EFUR4,https://www.fatf-gafi.org/content/fatf-gafi/en/publications/Mutualevaluations/Fur-fiji-2021.html,2020-12-01,APG,1,ME,ME,ME,ME,LE,ME,ME,LE,LE,LE,LE,LC,LC,LC,C,C,PC,PC,PC,C,LC,C,C,C,C,C,LC,LC,LC,C,LC,LC,LC,LC,PC,PC,LC,LC,LC,C,C,LC,LC,C,LC,LC,LC,LC,C,PC,LC,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,5,6,0,0,0,6,21,13,0.1818181818181818,0.725,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.6666666666666666,0.8333333333333333,0.5,0.8222222222222222,0.3333333333333333,0.7666666666666666,0.6666666666666666,0.1818181818181818,0.725,0.2222222222222222,0.6555555555555556,0.2507836990595611,0.3389830508474576,1,1,0,0,1,1,0,1,1,4
